County Name,Breed,Sex,0-1 Years,1-2 Years,2-3 Years,3-4 Years,4-5 Years,Over 5 Years,Totals
Mid Lothian,BAZX,M,13,4,0,0,0,0,17
Mid Lothian,BB,F,4,8,3,11,4,40,70
Mid Lothian,BB,M,5,1,9,0,1,2,18
Mid Lothian,BBX,F,114,133,89,76,91,233,736
Mid Lothian,BBX,M,103,55,15,0,0,14,187
Mid Lothian,BF,F,55,61,59,11,15,139,340
Mid Lothian,BF,M,115,115,39,0,0,3,272
Mid Lothian,BFX,F,1,0,0,0,0,2,3
Mid Lothian,BFX,M,2,10,0,0,0,0,12
Mid Lothian,BG,F,0,0,0,0,0,3,3
Mid Lothian,BG,M,0,2,1,0,0,0,3
Mid Lothian,BGX,M,1,0,0,0,0,0,1
Mid Lothian,BLG,F,1,33,44,61,29,85,253
Mid Lothian,BLG,M,10,0,0,0,0,0,10
Mid Lothian,BLGX,F,0,0,0,0,0,35,35
Mid Lothian,BS,M,0,1,0,0,0,0,1
Mid Lothian,BSH,F,10,11,14,1,5,5,46
Mid Lothian,BSH,M,4,3,0,0,1,2,10
Mid Lothian,BSHX,F,35,31,11,6,7,19,109
Mid Lothian,BSHX,M,24,11,1,0,0,0,36
Mid Lothian,BSX,F,0,0,0,1,0,0,1
Mid Lothian,BSX,M,0,1,0,0,0,0,1
Mid Lothian,CB,F,0,0,0,0,0,28,28
Mid Lothian,CH,F,20,13,15,21,8,36,113
Mid Lothian,CH,M,17,10,15,9,6,43,100
Mid Lothian,CHX,F,855,466,13,15,6,324,"1,679"
Mid Lothian,CHX,M,918,225,16,0,0,164,"1,323"
Mid Lothian,DEX,M,0,1,0,0,0,0,1
Mid Lothian,DEXX,F,0,0,0,0,0,2,2
Mid Lothian,DR,F,0,2,0,0,0,0,2
Mid Lothian,DSX,F,0,0,0,0,0,1,1
Mid Lothian,FR,F,0,0,0,0,0,96,96
Mid Lothian,FR,M,0,0,0,0,0,3,3
Mid Lothian,FRX,F,0,0,0,0,0,2,2
Mid Lothian,GA,F,0,0,6,1,0,2,9
Mid Lothian,GA,M,13,3,4,0,0,0,20
Mid Lothian,GAX,F,4,7,4,7,3,11,36
Mid Lothian,GAX,M,1,6,0,0,0,1,8
Mid Lothian,GEX,F,0,0,0,0,0,3,3
Mid Lothian,H,F,0,0,0,0,0,4,4
Mid Lothian,HE,F,0,2,2,2,2,15,23
Mid Lothian,HE,M,0,4,0,0,1,1,6
Mid Lothian,HEBLX,F,0,0,0,0,0,11,11
Mid Lothian,HERX,F,0,0,0,0,0,19,19
Mid Lothian,HEX,F,21,29,19,29,29,228,355
Mid Lothian,HEX,M,11,49,1,0,0,9,70
Mid Lothian,HF,F,273,302,248,248,205,524,"1,800"
Mid Lothian,HF,M,417,223,56,3,3,124,826
Mid Lothian,HFX,F,2,3,0,0,2,8,15
Mid Lothian,HFX,M,89,17,2,0,0,0,108
Mid Lothian,HI,F,16,8,14,7,7,30,82
Mid Lothian,HI,M,18,5,7,0,6,14,50
Mid Lothian,HIX,F,0,1,2,0,0,1,4
Mid Lothian,HIX,M,2,0,0,0,0,0,2
Mid Lothian,HL,F,0,0,0,0,0,8,8
Mid Lothian,HL,M,0,0,0,0,0,4,4
Mid Lothian,HO,F,0,30,73,1,4,14,122
Mid Lothian,HO,M,80,36,6,0,0,0,122
Mid Lothian,HOX,F,0,0,0,0,0,2,2
Mid Lothian,HOX,M,7,1,0,0,0,0,8
Mid Lothian,HX,F,0,0,0,0,0,8,8
Mid Lothian,IM,M,0,0,1,0,0,0,1
Mid Lothian,IMX,F,1,0,0,0,0,0,1
Mid Lothian,IMX,M,0,1,0,0,0,0,1
Mid Lothian,JE,F,0,0,0,1,1,2,4
Mid Lothian,JEX,F,0,1,0,0,0,0,1
Mid Lothian,JEX,M,1,0,0,0,0,0,1
Mid Lothian,JY,F,0,0,0,0,0,2,2
Mid Lothian,LH,F,0,2,0,0,0,0,2
Mid Lothian,LH,M,2,3,0,0,0,0,5
Mid Lothian,LHX,F,1,1,0,0,0,0,2
Mid Lothian,LHX,M,1,0,0,0,0,0,1
Mid Lothian,LI,F,0,0,0,0,0,20,20
Mid Lothian,LI,M,0,0,0,0,0,2,2
Mid Lothian,LIM,F,80,74,45,52,35,118,404
