Country,Breed,Breed Type,Sex,Age Groups,Number of Cattle
England,ANGLER ROTVIEH,Non Dairy,F,84 to 90 months,1
England,ANGLER ROTVIEH,Non Dairy,F,102+months,1
England,ANGLER ROTVIEH,Non Dairy,M,0 to 6 months,2
England,ANGLER ROTVIEH,Non Dairy,M,36 to 42 months,1
England,ANGLER ROTVIEH X,Non Dairy,F,24 to 30 months,29
England,ANGLER ROTVIEH X,Non Dairy,F,72 to 78 months,1
England,ANGLER ROTVIEH X,Non Dairy,F,84 to 90 months,1
England,ANGLER ROTVIEH X,Non Dairy,F,102+months,8
England,ANGLER ROTVIEH X,Non Dairy,M,6 to 12 months,1
England,ANGLER ROTVIEH X,Non Dairy,M,12 to 18 months,3
England,ANGLER ROTVIEH X,Non Dairy,M,18 to 24 months,1
England,ANGLER ROTVIEH X,Non Dairy,M,24 to 30 months,21
England,ANGLER ROTVIEH X,Non Dairy,M,102+months,1
England,ANKOLE,Non Dairy,F,18 to 24 months,2
England,ANKOLE,Non Dairy,F,30 to 36 months,1
England,ANKOLE,Non Dairy,F,102+months,5
England,ANKOLE,Non Dairy,M,18 to 24 months,2
England,ANKOLE,Non Dairy,M,30 to 36 months,1
England,ARMORICAINE,Non Dairy,F,102+months,1
England,AUBRAC,Non Dairy,F,0 to 6 months,2
England,AUBRAC,Non Dairy,F,6 to 12 months,19
England,AUBRAC,Non Dairy,F,18 to 24 months,15
England,AUBRAC,Non Dairy,F,30 to 36 months,11
England,AUBRAC,Non Dairy,F,42 to 48 Months,3
England,AUBRAC,Non Dairy,F,66 to 72 months,2
England,AUBRAC,Non Dairy,F,78 to 84 months,5
England,AUBRAC,Non Dairy,F,102+months,42
England,AUBRAC,Non Dairy,M,0 to 6 months,1
England,AUBRAC,Non Dairy,M,6 to 12 months,19
England,AUBRAC,Non Dairy,M,18 to 24 months,18
England,AUBRAC,Non Dairy,M,72 to 78 months,1
England,AUBRAC,Non Dairy,M,90 to 96 months,1
England,AUBRAC,Non Dairy,M,102+months,2
England,AUBRAC X,Non Dairy,F,6 to 12 months,3
England,AUBRAC X,Non Dairy,F,12 to 18 months,4
England,AUBRAC X,Non Dairy,F,18 to 24 months,3
England,AUBRAC X,Non Dairy,F,24 to 30 months,1
England,AUBRAC X,Non Dairy,F,30 to 36 months,1
England,AUBRAC X,Non Dairy,F,42 to 48 Months,1
England,AUBRAC X,Non Dairy,F,48 to 54 months,1
England,AUBRAC X,Non Dairy,F,102+months,13
England,AUBRAC X,Non Dairy,M,12 to 18 months,3
England,AUBRAC X,Non Dairy,M,18 to 24 months,1
England,AUBRAC X,Non Dairy,M,102+months,1
England,AUSTRALIAN LOWLINE,Non Dairy,F,0 to 6 months,5
England,AUSTRALIAN LOWLINE,Non Dairy,F,6 to 12 months,5
England,AUSTRALIAN LOWLINE,Non Dairy,F,12 to 18 months,6
England,AUSTRALIAN LOWLINE,Non Dairy,F,18 to 24 months,13
England,AUSTRALIAN LOWLINE,Non Dairy,F,24 to 30 months,2
England,AUSTRALIAN LOWLINE,Non Dairy,F,30 to 36 months,7
England,AUSTRALIAN LOWLINE,Non Dairy,F,36 to 42 months,2
England,AUSTRALIAN LOWLINE,Non Dairy,F,42 to 48 Months,10
England,AUSTRALIAN LOWLINE,Non Dairy,F,60 to 66 months,1
England,AUSTRALIAN LOWLINE,Non Dairy,M,0 to 6 months,4
England,AUSTRALIAN LOWLINE,Non Dairy,M,6 to 12 months,8
England,AUSTRALIAN LOWLINE,Non Dairy,M,12 to 18 months,4
England,AUSTRALIAN LOWLINE,Non Dairy,M,18 to 24 months,6
England,AUSTRALIAN LOWLINE,Non Dairy,M,24 to 30 months,1
England,AUSTRALIAN LOWLINE,Non Dairy,M,30 to 36 months,2
England,AUSTRALIAN LOWLINE,Non Dairy,M,60 to 66 months,1
England,AYRSHIRE,Dairy,F,0 to 6 months,"1,958"
England,AYRSHIRE,Dairy,F,6 to 12 months,"1,661"
England,AYRSHIRE,Dairy,F,12 to 18 months,"1,839"
England,AYRSHIRE,Dairy,F,18 to 24 months,"1,569"
England,AYRSHIRE,Dairy,F,24 to 30 months,"1,841"
England,AYRSHIRE,Dairy,F,30 to 36 months,"1,554"
England,AYRSHIRE,Dairy,F,36 to 42 months,"1,623"
England,AYRSHIRE,Dairy,F,42 to 48 Months,"1,273"
England,AYRSHIRE,Dairy,F,48 to 54 months,"1,546"
England,AYRSHIRE,Dairy,F,54 to 60 months,"1,013"
England,AYRSHIRE,Dairy,F,60 to 66 months,"1,236"
England,AYRSHIRE,Dairy,F,66 to 72 months,863
England,AYRSHIRE,Dairy,F,72 to 78 months,989
England,AYRSHIRE,Dairy,F,78 to 84 months,743
England,AYRSHIRE,Dairy,F,84 to 90 months,734
England,AYRSHIRE,Dairy,F,90 to 96 months,530
England,AYRSHIRE,Dairy,F,96 to102 months,609
England,AYRSHIRE,Dairy,F,102+months,"2,533"
England,AYRSHIRE,Dairy,F,,39
England,AYRSHIRE,Dairy,M,0 to 6 months,929
England,AYRSHIRE,Dairy,M,6 to 12 months,847
England,AYRSHIRE,Dairy,M,12 to 18 months,611
